lon	lat
-71.999142	41.267336
-71.998555	41.267336
-71.995915	41.268216
-71.995035	41.269389
-71.994448	41.270856
-71.993861	41.271443
-71.993861	41.276136
-71.993568	41.27643
-71.992981	41.27731
-71.992981	41.278776
-71.992394	41.279656
-71.992394	41.280537
-71.991221	41.281417
-71.985941	41.281417
-71.985061	41.280537
-71.979194	41.280537
-71.97802	41.279656
-71.973913	41.27995
-71.973326	41.280537
-71.970393	41.28083
-71.969219	41.282003
-71.968926	41.282883
-71.968046	41.284057
-71.967459	41.284057
-71.966579	41.284644
-71.965993	41.284644
-71.965406	41.284644
-71.965113	41.284057
-71.964526	41.283763
-71.950738	41.284057
-71.949858	41.283177
-71.948098	41.283177
-71.947218	41.284057
-71.944871	41.284057
-71.943991	41.283177
-71.940471	41.283177
-71.939591	41.284057
-71.939591	41.284644
-71.941644	41.284937
-71.943111	41.286404
-71.943111	41.287284
-71.939884	41.290804
-71.937831	41.290804
-71.93695	41.291097
-71.936657	41.291391
-71.93607	41.291391
-71.935484	41.291391
-71.934897	41.290804
-71.932257	41.290804
-71.93167	41.291391
-71.92727	41.291391
-71.92639	41.292271
-71.922869	41.292271
-71.921403	41.290804
-71.924043	41.288164
-71.92463	41.288164
-71.92639	41.286697
-71.926683	41.284644
-71.92815	41.283177
-71.92903	41.282297
-71.92991	41.282297
-71.932257	41.27995
-71.933137	41.279656
-71.934017	41.27907
-71.935484	41.278776
-71.936364	41.27819
-71.943991	41.277896
-71.945751	41.276723
-71.946631	41.276723
-71.948391	41.276723
-71.949271	41.27731
-71.949858	41.27731
-71.951618	41.275843
-71.952498	41.27555
-71.953965	41.274083
-71.960712	41.274083
-71.961886	41.274963
-71.963646	41.274669
-71.964819	41.273789
-71.967166	41.271443
-71.968339	41.271443
-71.9701	41.270269
-71.970393	41.269976
-71.97186	41.269389
-71.974207	41.267336
-71.97538	41.266749
-71.97626	41.266456
-71.977727	41.265575
-71.979487	41.265575
-71.981834	41.264695
-71.9833	41.263229
-71.984181	41.262935
-71.984767	41.262349
-71.985647	41.262055
-71.986527	41.261469
-71.987407	41.261175
-71.988288	41.260588
-71.988874	41.260588
-71.995035	41.254721
-71.994741	41.253841
-71.996501	41.252375
-71.997088	41.252081
-71.998262	41.251201
-71.998848	41.251494
-71.999728	41.252375
NA NA
-71.999142	41.00977
-71.997675	41.010064
-71.996501	41.010651
-71.995621	41.010651
-71.994155	41.011237
-71.992688	41.011531
-71.991808	41.012117
-71.990048	41.012411
-71.989168	41.012997
-71.987701	41.012997
-71.986234	41.013877
-71.985647	41.014171
-71.984767	41.014757
-71.983887	41.014757
-71.983007	41.015638
-71.981247	41.015931
-71.980954	41.016224
-71.97978	41.016518
-71.979194	41.017398
-71.976553	41.018864
-71.975673	41.018864
-71.974207	41.019745
-71.97186	41.019745
-71.970393	41.020625
-71.969219	41.020625
-71.968046	41.021211
-71.965699	41.021505
-71.964526	41.022385
-71.963352	41.022385
-71.960125	41.023851
-71.958365	41.024145
-71.957485	41.024732
-71.955725	41.024732
-71.955432	41.025318
-71.951618	41.027078
-71.948978	41.027372
-71.948391	41.027958
-71.946925	41.028252
-71.944871	41.029132
-71.944284	41.029719
-71.941644	41.029719
-71.940177	41.030599
-71.938124	41.030599
-71.937831	41.030892
-71.935777	41.031479
-71.934897	41.032065
-71.932257	41.032359
-71.931963	41.032652
-71.92991	41.033239
-71.92903	41.033826
-71.926976	41.034119
-71.926096	41.034412
-71.924336	41.034706
-71.923456	41.035586
-71.921989	41.035586
-71.920229	41.036172
-71.918176	41.036466
-71.917296	41.037346
-71.913482	41.037346
-71.912309	41.037932
-71.911429	41.038226
-71.910842	41.037052
-71.905855	41.037346
-71.904975	41.038226
-71.903215	41.038226
-71.902335	41.038813
-71.901161	41.039106
-71.900281	41.039693
-71.898814	41.039693
-71.898228	41.040279
-71.897348	41.040573
-71.896761	41.041159
-71.895881	41.042039
-71.894707	41.042333
-71.894121	41.04292
-71.892067	41.0438
-71.890894	41.0438
-71.890601	41.044386
-71.889427	41.04468
-71.88796	41.04468
-71.887374	41.044973
-71.88708	41.045266
-71.886494	41.04556
-71.885027	41.04556
-71.88444	41.046146
-71.88268	41.04644
-71.881507	41.04732
-71.879453	41.04732
-71.877986	41.0482
-71.876813	41.0482
-71.875933	41.048787
-71.874466	41.048787
-71.873879	41.048787
-71.872413	41.050547
-71.872119	41.051427
-71.868306	41.055534
-71.867426	41.055534
-71.865665	41.057001
-71.865665	41.057881
-71.861558	41.062281
-71.860678	41.062281
-71.860092	41.062281
-71.860092	41.063748
-71.859505	41.064334
-71.858038	41.065508
-71.857745	41.066095
-71.856278	41.066388
-71.853931	41.068735
-71.853638	41.070201
-71.857158	41.074015
-71.857745	41.074015
-71.858038	41.074015
-71.858332	41.074308
-71.859505	41.075482
-71.860678	41.075775
-71.860972	41.076362
